# Irene Model output file: space_first/run/diff.AE9.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE9
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Energy levels (MeV):       0.04 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 1 1.25 1.5 1.75 2 2.25 2.5 2.75 3 3.25 3.5 3.75 4 4.25 4.5 4.75 5 5.5 6 6.5 7 8.5 10
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
58849.01388889,0.72256931,0.42666824,1.01020895,1.81307625e+07,9.15001935e+06,5.38489335e+06,3.01752245e+06,2.04790665e+06,1.07829086e+06,7.99012198e+05,5.19733540e+05,3.26827352e+05,1.13759920e+05,6.96718902e+04,2.55838604e+04,1.54664825e+04,5.34910466e+03,3.42383565e+03,1.49856665e+03,1.04050827e+03,5.82449892e+02,4.13036063e+02,2.43622234e+02,1.73026361e+02,1.02430488e+02,7.45511587e+01,4.66718297e+01,3.33537433e+01,2.00356570e+01,9.01615973e+00,4.30144583e+00,2.46495258e+00,1.31927250e+00,5.94576507e-01,2.99594800e-01
58849.01458333,0.66740831,0.44006399,1.04188754,1.03432255e+07,4.43093041e+06,2.51210641e+06,1.32329457e+06,8.64494896e+05,4.05695218e+05,2.94700258e+05,1.83705298e+05,1.09206084e+05,3.31991467e+04,2.01971664e+04,7.19518620e+03,4.35434711e+03,1.51350802e+03,9.73766946e+02,4.34025873e+02,3.01196422e+02,1.68366972e+02,1.20815815e+02,7.32646575e+01,5.33999569e+01,3.35352564e+01,2.53977435e+01,1.72602306e+01,1.27933697e+01,8.32650884e+00,3.91529197e+00,1.89392404e+00,1.03395481e+00,5.51281179e-01,1.54587312e-01,0.00000000e+00
58849.01527778,0.61061591,0.45238406,1.07101455,2.15785329e+06,6.94796181e+05,3.93229279e+05,2.05834988e+05,1.32613309e+05,5.93916299e+04,4.34280318e+04,2.74644337e+04,1.64701071e+04,4.41999698e+03,2.69862042e+03,9.77243854e+02,5.95737312e+02,2.14230770e+02,1.38073537e+02,6.19163033e+01,4.27951262e+01,2.36739492e+01,1.72011475e+01,1.07283459e+01,8.16633565e+00,5.60432537e+00,4.43471810e+00,3.26511083e+00,2.55306074e+00,1.84101066e+00,9.31306024e-01,3.81095717e-01,4.61258081e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01597222,0.55233111,0.46359846,1.09751898,3.31747283e+05,8.26832632e+04,4.42739679e+04,2.10711549e+04,1.30748244e+04,5.07849384e+03,3.66682963e+03,2.25516542e+03,1.30918361e+03,3.48584813e+02,2.17936260e+02,8.72877062e+01,5.46390583e+01,2.19904103e+01,1.43794214e+01,6.76843238e+00,4.76736545e+00,2.76629852e+00,2.08943613e+00,1.41257374e+00,1.10214492e+00,7.91716089e-01,6.66802626e-01,5.41889164e-01,3.00396808e-01,5.89044530e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01666667,0.49269655,0.47367995,1.12133627,2.44513324e+04,4.95812282e+03,2.25097168e+03,7.39709111e+02,4.24335114e+02,1.08961118e+02,7.47502592e+01,4.05394005e+01,1.98746464e+01,5.63734725e+00,3.57138803e+00,1.50542881e+00,9.37865002e-01,3.70301194e-01,2.18590636e-01,6.68800776e-02,3.34400388e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01736111,0.43185810,0.48260402,1.14240845,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01805556,0.36996455,0.49034901,1.16068425,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01875000,0.30716721,0.49689613,1.17611928,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01944444,0.24361958,0.50222952,1.18867606,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.02013889,0.17947693,0.50633627,1.19832416,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
