  2.4188E-01,  5.5140E+00,  4.2001E+07,  2.4133E+07,  1.3096E+07,  9.3797E+06,  7.6504E+06,  6.1215E+06,  5.0629E+06,  4.1874E+06,  3.5915E+06,  2.8414E+06,  1.9208E+06,  1.2115E+06,  7.6541E+05,  4.5402E+05,  2.5953E+05,  1.4614E+05,  7.9387E+04,  3.9928E+04,  1.8077E+04,  8.1839E+03,  3.3714E+03,  1.3888E+03,  5.1564E+02,  1.9144E+02,  4.1065E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4305E-01,  6.1326E+00,  4.0801E+07,  1.1002E+07,  4.5204E+06,  3.0121E+06,  2.5697E+06,  2.2264E+06,  1.9400E+06,  1.6905E+06,  1.4779E+06,  1.1369E+06,  7.5244E+05,  4.5735E+05,  2.8574E+05,  1.6325E+05,  8.2015E+04,  3.8397E+04,  1.8782E+04,  8.3869E+03,  3.4868E+03,  1.4496E+03,  5.2963E+02,  1.9350E+02,  6.5101E+01,  2.1903E+01,  6.9554E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4387E-01,  6.8004E+00,  4.4118E+07,  5.3907E+06,  2.0050E+06,  1.2126E+06,  9.2037E+05,  6.9262E+05,  5.8970E+05,  5.0208E+05,  4.3362E+05,  3.3283E+05,  1.9547E+05,  1.0279E+05,  5.5803E+04,  2.8175E+04,  1.1514E+04,  4.4032E+03,  1.9566E+03,  8.4428E+02,  3.6948E+02,  1.6169E+02,  6.0353E+01,  2.2527E+01,  8.0687E+00,  2.8901E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4438E-01,  7.4947E+00,  2.7168E+07,  3.5675E+06,  1.3489E+06,  6.6620E+05,  3.7766E+05,  2.1417E+05,  1.4573E+05,  9.9161E+04,  7.1606E+04,  4.2054E+04,  1.9387E+04,  7.8406E+03,  3.1467E+03,  1.1867E+03,  4.2571E+02,  1.4358E+02,  6.2996E+01,  2.7438E+01,  1.1151E+01,  4.5319E+00,  2.1401E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4463E-01,  8.1797E+00,  2.7455E+07,  2.9477E+06,  7.5313E+05,  2.4975E+05,  9.2264E+04,  3.6171E+04,  1.9267E+04,  1.0263E+04,  5.9343E+03,  2.3376E+03,  8.2153E+02,  2.5467E+02,  8.8419E+01,  2.9970E+01,  1.3718E+01,  5.8249E+00,  2.4203E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4467E-01,  8.8026E+00,  4.8796E+07,  4.7121E+06,  5.4518E+05,  9.3694E+04,  1.7736E+04,  4.0492E+03,  1.7023E+03,  7.1568E+02,  3.3739E+02,  9.4281E+01,  2.3691E+01,  5.5533E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4454E-01,  9.3016E+00,  6.1848E+07,  3.7516E+06,  2.7917E+05,  3.0880E+04,  3.7292E+03,  4.7090E+02,  1.4843E+02,  4.6786E+01,  1.9557E+01,  6.0105E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4429E-01,  9.6156E+00,  6.5394E+07,  2.5312E+06,  1.5449E+05,  1.3364E+04,  1.2504E+03,  1.0107E+02,  2.6068E+01,  6.7234E+00,  2.1506E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4395E-01,  9.7004E+00,  6.6545E+07,  2.2815E+06,  1.3200E+05,  1.0676E+04,  9.3056E+02,  6.6555E+01,  7.4664E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4357E-01,  9.5445E+00,  6.4904E+07,  2.7814E+06,  1.7756E+05,  1.6250E+04,  1.6128E+03,  1.4439E+02,  3.6051E+01,  9.0011E+00,  2.7417E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4316E-01,  9.1706E+00,  6.1020E+07,  4.4640E+06,  3.6080E+05,  4.4170E+04,  5.9200E+03,  8.9842E+02,  3.1639E+02,  1.1142E+02,  4.8610E+01,  1.4200E+01,  3.1607E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4274E-01,  8.6304E+00,  4.2078E+07,  4.1842E+06,  6.0267E+05,  1.2420E+05,  2.8281E+04,  7.4967E+03,  3.3625E+03,  1.5082E+03,  7.5159E+02,  2.3039E+02,  5.0380E+01,  1.0119E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4233E-01,  7.9856E+00,  2.3769E+07,  2.6443E+06,  8.5312E+05,  3.4405E+05,  1.5522E+05,  7.1568E+04,  4.1055E+04,  2.3551E+04,  1.4526E+04,  6.3884E+03,  2.3973E+03,  7.8104E+02,  2.7905E+02,  9.1209E+01,  3.4047E+01,  1.1607E+01,  5.0898E+00,  2.2315E+00,  1.5000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4193E-01,  7.2969E+00,  3.2314E+07,  3.9875E+06,  1.5118E+06,  8.0213E+05,  4.9347E+05,  3.0788E+05,  2.2301E+05,  1.6154E+05,  1.2440E+05,  8.3395E+04,  4.0752E+04,  1.7662E+04,  7.6650E+03,  3.1172E+03,  1.1425E+03,  4.0015E+02,  1.7771E+02,  7.7070E+01,  3.2185E+01,  1.3441E+01,  6.9906E+00,  3.6358E+00,  1.9645E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4151E-01,  6.6097E+00,  4.8902E+07,  6.4715E+06,  2.3540E+06,  1.4559E+06,  1.2011E+06,  9.4290E+05,  8.5652E+05,  7.7806E+05,  6.8370E+05,  4.9400E+05,  3.1815E+05,  1.8226E+05,  1.0962E+05,  6.1114E+04,  2.6927E+04,  1.0628E+04,  4.5712E+03,  1.9441E+03,  8.5416E+02,  3.7528E+02,  1.3164E+02,  4.6175E+01,  1.5541E+01,  5.2309E+00,  1.7758E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4107E-01,  5.9563E+00,  3.9619E+07,  1.3727E+07,  5.9694E+06,  4.0801E+06,  3.4930E+06,  3.0806E+06,  2.6409E+06,  2.2640E+06,  1.9728E+06,  1.5475E+06,  1.0322E+06,  6.3846E+05,  4.0269E+05,  2.3200E+05,  1.2186E+05,  6.0593E+04,  3.0940E+04,  1.4144E+04,  5.8389E+03,  2.4105E+03,  9.0583E+02,  3.4040E+02,  1.1588E+02,  3.9446E+01,  1.0922E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4057E-01,  5.3543E+00,  4.6617E+07,  2.8699E+07,  1.6585E+07,  1.1905E+07,  9.7337E+06,  7.8423E+06,  6.4377E+06,  5.2846E+06,  4.4986E+06,  3.5058E+06,  2.3311E+06,  1.4676E+06,  9.3515E+05,  5.6485E+05,  3.2951E+05,  1.9034E+05,  1.0642E+05,  5.6375E+04,  2.7455E+04,  1.3371E+04,  5.9155E+03,  2.6170E+03,  1.0393E+03,  4.1270E+02,  1.0957E+02,  2.9089E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3997E-01,  4.8114E+00,  6.6777E+07,  4.6323E+07,  3.2228E+07,  2.3822E+07,  1.9188E+07,  1.5456E+07,  1.2926E+07,  1.0810E+07,  9.2333E+06,  7.0256E+06,  4.5261E+06,  2.8395E+06,  1.8316E+06,  1.1401E+06,  6.7179E+05,  3.9586E+05,  2.5010E+05,  1.5801E+05,  9.2332E+04,  5.3954E+04,  2.8048E+04,  1.4581E+04,  6.9305E+03,  3.2942E+03,  1.1773E+03,  4.2075E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3923E-01,  4.3286E+00,  7.8220E+07,  5.4793E+07,  3.8712E+07,  2.9715E+07,  2.4105E+07,  1.9554E+07,  1.6650E+07,  1.4178E+07,  1.2376E+07,  9.9124E+06,  7.0354E+06,  4.8206E+06,  3.1775E+06,  2.0286E+06,  1.3004E+06,  8.3356E+05,  5.1277E+05,  3.1544E+05,  1.8545E+05,  1.0902E+05,  5.8646E+04,  3.1547E+04,  1.5523E+04,  7.6384E+03,  3.1575E+03,  1.3051E+03,  1.6043E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3829E-01,  3.9033E+00,  7.2008E+07,  4.9427E+07,  3.4089E+07,  2.5957E+07,  2.1436E+07,  1.7703E+07,  1.5220E+07,  1.3085E+07,  1.1495E+07,  9.2614E+06,  7.1607E+06,  5.4153E+06,  3.8666E+06,  2.7320E+06,  1.9239E+06,  1.3593E+06,  8.2652E+05,  5.0257E+05,  3.0623E+05,  1.8659E+05,  1.0154E+05,  5.5257E+04,  2.8611E+04,  1.4815E+04,  6.8005E+03,  3.1215E+03,  5.2429E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3711E-01,  3.5306E+00,  5.5501E+07,  3.7689E+07,  2.4089E+07,  1.7800E+07,  1.5222E+07,  1.3018E+07,  1.1453E+07,  1.0076E+07,  8.9157E+06,  7.0610E+06,  5.5341E+06,  4.2281E+06,  3.1236E+06,  2.2917E+06,  1.6219E+06,  1.1451E+06,  7.8382E+05,  5.3652E+05,  3.4472E+05,  2.2149E+05,  1.3058E+05,  7.6981E+04,  4.1420E+04,  2.2286E+04,  1.1523E+04,  5.9574E+03,  1.2995E+03,  2.3271E+02,  0.0000E+00,  0.0000E+00
  2.3563E-01,  3.2050E+00,  2.9849E+07,  1.9079E+07,  1.1575E+07,  8.3388E+06,  7.1574E+06,  6.1434E+06,  5.4324E+06,  4.8038E+06,  4.2285E+06,  3.2468E+06,  2.5468E+06,  1.8786E+06,  1.3384E+06,  9.2809E+05,  6.2692E+05,  4.2056E+05,  2.9258E+05,  2.0082E+05,  1.3485E+05,  9.0556E+04,  5.9974E+04,  3.9720E+04,  2.4182E+04,  1.4723E+04,  9.6586E+03,  6.3353E+03,  1.6935E+03,  4.0246E+02,  0.0000E+00,  0.0000E+00
  2.3380E-01,  2.9213E+00,  3.0202E+06,  1.5884E+06,  8.5133E+05,  5.5285E+05,  4.3030E+05,  3.3491E+05,  2.7547E+05,  2.2658E+05,  1.9362E+05,  1.5259E+05,  1.1549E+05,  8.2389E+04,  5.7830E+04,  3.9159E+04,  2.6154E+04,  1.7516E+04,  1.1645E+04,  7.7417E+03,  4.9742E+03,  3.1960E+03,  2.0530E+03,  1.3187E+03,  8.1155E+02,  4.9943E+02,  2.8544E+02,  1.6313E+02,  5.0314E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00
