  2.4316E-01,  9.1706E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4274E-01,  8.6304E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4233E-01,  7.9856E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4193E-01,  7.2969E+00,  5.6349E+01,  2.8549E+01,  1.4464E+01,  4.9919E+00,  1.7228E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4151E-01,  6.6097E+00,  1.6901E+04,  6.9488E+03,  2.8569E+03,  3.7137E+02,  4.8275E+01,  8.6473E+00,  1.5489E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4107E-01,  5.9563E+00,  1.3775E+05,  5.7563E+04,  2.4055E+04,  4.4689E+03,  8.3023E+02,  1.7304E+02,  3.6066E+01,  9.1281E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4057E-01,  5.3543E+00,  5.0352E+05,  2.2055E+05,  9.6606E+04,  2.1494E+04,  4.7822E+03,  1.1513E+03,  2.7718E+02,  7.0519E+01,  1.8781E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3997E-01,  4.8114E+00,  4.8315E+05,  2.4980E+05,  1.2915E+05,  4.2555E+04,  1.4022E+04,  5.0350E+03,  1.8080E+03,  7.2549E+02,  6.4037E+01,  1.4532E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3923E-01,  4.3286E+00,  6.4166E+05,  4.0541E+05,  2.5615E+05,  1.0987E+05,  4.7129E+04,  2.2975E+04,  1.1200E+04,  5.9452E+03,  9.9964E+02,  1.1098E+02,  1.2322E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3829E-01,  3.9033E+00,  1.1252E+06,  7.6621E+05,  5.2178E+05,  2.5764E+05,  1.2722E+05,  6.9910E+04,  3.8417E+04,  2.2527E+04,  5.2564E+03,  9.3470E+02,  1.6621E+02,  2.0070E+01,  2.4234E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3711E-01,  3.5306E+00,  2.0452E+06,  1.2752E+06,  7.9510E+05,  4.0984E+05,  2.1125E+05,  1.2251E+05,  7.1044E+04,  4.4766E+04,  1.2393E+04,  2.7744E+03,  6.2110E+02,  1.0264E+02,  1.6961E+01,  6.0157E+00,  2.1336E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3563E-01,  3.2050E+00,  1.1914E+06,  7.8978E+05,  5.2356E+05,  2.7680E+05,  1.4634E+05,  8.5123E+04,  4.9516E+04,  3.2198E+04,  1.0513E+04,  2.9863E+03,  8.4834E+02,  1.8653E+02,  4.1012E+01,  1.5920E+01,  6.1798E+00,  2.3989E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3380E-01,  2.9213E+00,  5.8809E+05,  4.8529E+05,  4.0046E+05,  2.6705E+05,  1.7809E+05,  1.2492E+05,  8.7625E+04,  6.3755E+04,  2.6775E+04,  9.3567E+03,  3.2698E+03,  1.0244E+03,  3.2093E+02,  1.4898E+02,  6.9157E+01,  4.0728E+01,  1.0884E+01,  2.0298E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3157E-01,  2.6741E+00,  2.8320E+05,  2.4629E+05,  2.1419E+05,  1.6294E+05,  1.2395E+05,  9.9327E+04,  7.9593E+04,  6.4259E+04,  3.5364E+04,  1.6348E+04,  7.5571E+03,  2.9332E+03,  1.1385E+03,  6.1246E+02,  3.2949E+02,  2.1124E+02,  7.1394E+01,  1.9948E+01,  7.1864E+00,  1.9008E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
