  2.8294E-01,  2.3322E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8174E-01,  1.9310E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8004E-01,  1.5636E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7784E-01,  1.2614E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7514E-01,  1.0246E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7195E-01,  8.4195E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6829E-01,  7.0133E+00,  2.3897E+02,  1.0866E+02,  4.9411E+01,  1.1026E+01,  2.4605E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6416E-01,  5.9238E+00,  7.5668E+04,  3.0966E+04,  1.2672E+04,  2.1030E+03,  3.4900E+02,  7.2312E+01,  1.4983E+01,  3.1045E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5958E-01,  5.0698E+00,  4.4205E+05,  1.9131E+05,  8.2799E+04,  2.0615E+04,  5.1328E+03,  1.5021E+03,  4.3959E+02,  1.3039E+02,  4.5084E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5458E-01,  4.3944E+00,  4.2686E+05,  2.6264E+05,  1.6160E+05,  7.2664E+04,  3.2673E+04,  1.5724E+04,  7.5671E+03,  4.1288E+03,  7.0421E+02,  7.5291E+01,  8.0498E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4918E-01,  3.8536E+00,  8.8964E+05,  5.9735E+05,  4.0109E+05,  2.0012E+05,  9.9846E+04,  5.5859E+04,  3.1251E+04,  1.8811E+04,  4.6454E+03,  8.5881E+02,  1.5877E+02,  2.0145E+01,  2.5559E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4341E-01,  3.4165E+00,  1.9190E+06,  1.2015E+06,  7.5231E+05,  3.7520E+05,  1.8713E+05,  1.1233E+05,  6.7429E+04,  4.2878E+04,  1.3151E+04,  3.0395E+03,  7.0247E+02,  1.2918E+02,  2.3757E+01,  8.5646E+00,  3.0876E+00,  1.1131E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3731E-01,  3.0589E+00,  9.8694E+05,  7.3596E+05,  5.4881E+05,  3.1568E+05,  1.8158E+05,  1.1292E+05,  7.0217E+04,  4.8442E+04,  1.7194E+04,  5.2341E+03,  1.5933E+03,  4.1597E+02,  1.0859E+02,  4.4632E+01,  1.8343E+01,  9.8082E+00,  2.0234E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3090E-01,  2.7640E+00,  3.8833E+05,  3.2396E+05,  2.7025E+05,  1.9405E+05,  1.3934E+05,  1.0728E+05,  8.2595E+04,  6.4165E+04,  3.2044E+04,  1.3813E+04,  5.9541E+03,  2.2278E+03,  8.3356E+02,  4.3544E+02,  2.2747E+02,  1.4325E+02,  4.4765E+01,  1.1226E+01,  3.9832E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2425E-01,  2.5189E+00,  2.2486E+05,  1.9954E+05,  1.7708E+05,  1.4219E+05,  1.1418E+05,  9.4806E+04,  7.8723E+04,  6.5525E+04,  4.0145E+04,  2.1092E+04,  1.1081E+04,  4.8258E+03,  2.1016E+03,  1.2536E+03,  7.4774E+02,  5.1111E+02,  1.9517E+02,  5.9099E+01,  2.5272E+01,  7.4064E+00,  3.4862E+00,  1.6409E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1739E-01,  2.3140E+00,  1.0543E+05,  9.5531E+04,  8.6560E+04,  7.3459E+04,  6.2341E+04,  5.4474E+04,  4.7600E+04,  4.2353E+04,  3.0286E+04,  1.9600E+04,  1.2684E+04,  6.9847E+03,  3.8462E+03,  2.5746E+03,  1.7234E+03,  1.2518E+03,  5.1430E+02,  1.8020E+02,  8.5429E+01,  2.9169E+01,  1.4010E+01,  6.7291E+00,  3.7881E+00,  2.4471E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1037E-01,  2.1415E+00,  7.2504E+04,  6.8413E+04,  6.4553E+04,  5.9290E+04,  5.4456E+04,  5.0857E+04,  4.7496E+04,  4.4791E+04,  3.7648E+04,  2.8557E+04,  2.1661E+04,  1.3392E+04,  8.2799E+03,  5.6615E+03,  3.8711E+03,  2.8276E+03,  1.2377E+03,  4.8200E+02,  2.4553E+02,  9.3191E+01,  5.2468E+01,  2.9541E+01,  1.7448E+01,  1.2216E+01,  4.6284E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0327E-01,  1.9957E+00,  3.8107E+04,  3.7400E+04,  3.6707E+04,  3.5545E+04,  3.4420E+04,  3.3482E+04,  3.2569E+04,  3.1810E+04,  2.9518E+04,  2.5385E+04,  2.1831E+04,  1.5089E+04,  1.0428E+04,  7.2482E+03,  5.0378E+03,  3.7436E+03,  1.7744E+03,  8.4950E+02,  5.1164E+02,  2.6741E+02,  1.7185E+02,  1.1044E+02,  7.7378E+01,  5.7158E+01,  2.4542E+01,  7.6377E+00,  2.3769E+00,  0.0000E+00,  0.0000E+00
  1.9614E-01,  1.8714E+00,  1.6809E+04,  1.6597E+04,  1.6387E+04,  1.5909E+04,  1.5445E+04,  1.4998E+04,  1.4564E+04,  1.4153E+04,  1.3152E+04,  1.1889E+04,  1.0747E+04,  8.7191E+03,  7.0736E+03,  5.6661E+03,  4.5386E+03,  3.6845E+03,  2.2165E+03,  1.2979E+03,  8.8200E+02,  5.3816E+02,  3.8497E+02,  2.7539E+02,  2.0690E+02,  1.5199E+02,  6.1095E+01,  1.7818E+01,  5.1964E+00,  0.0000E+00,  0.0000E+00
  1.8906E-01,  1.7661E+00,  1.1542E+04,  1.1495E+04,  1.1448E+04,  1.1351E+04,  1.1255E+04,  1.1142E+04,  1.1031E+04,  1.0946E+04,  1.0702E+04,  1.0265E+04,  9.8460E+03,  8.7973E+03,  7.8604E+03,  6.8483E+03,  5.9665E+03,  5.1435E+03,  3.3155E+03,  2.0273E+03,  1.4717E+03,  1.0281E+03,  8.1504E+02,  6.4614E+02,  5.1537E+02,  4.0668E+02,  2.0285E+02,  6.2282E+01,  1.9122E+01,  1.8027E+00,  0.0000E+00
  1.8210E-01,  1.6765E+00,  1.4089E+04,  1.4031E+04,  1.3973E+04,  1.3863E+04,  1.3753E+04,  1.3626E+04,  1.3500E+04,  1.3396E+04,  1.3071E+04,  1.2558E+04,  1.2065E+04,  1.1086E+04,  1.0187E+04,  9.0897E+03,  8.1104E+03,  7.1287E+03,  4.9696E+03,  3.2918E+03,  2.5184E+03,  1.9144E+03,  1.6248E+03,  1.3790E+03,  1.1815E+03,  9.8727E+02,  5.6149E+02,  2.2200E+02,  8.7772E+01,  1.8347E+01,  3.8349E+00
  1.7535E-01,  1.6002E+00,  1.5964E+04,  1.5892E+04,  1.5820E+04,  1.5756E+04,  1.5692E+04,  1.5597E+04,  1.5502E+04,  1.5368E+04,  1.5082E+04,  1.4682E+04,  1.4293E+04,  1.3490E+04,  1.2732E+04,  1.1825E+04,  1.0983E+04,  9.9920E+03,  7.8282E+03,  5.8928E+03,  4.7772E+03,  3.8799E+03,  3.3440E+03,  2.8822E+03,  2.5049E+03,  2.1308E+03,  1.2991E+03,  5.9543E+02,  2.7291E+02,  6.3729E+01,  1.4882E+01
  1.6889E-01,  1.5355E+00,  1.8760E+04,  1.8711E+04,  1.8662E+04,  1.8580E+04,  1.8498E+04,  1.8387E+04,  1.8276E+04,  1.8205E+04,  1.7965E+04,  1.7580E+04,  1.7204E+04,  1.6391E+04,  1.5617E+04,  1.4781E+04,  1.3990E+04,  1.2805E+04,  1.0811E+04,  8.5493E+03,  7.2067E+03,  6.0634E+03,  5.3742E+03,  4.7634E+03,  4.2581E+03,  3.7287E+03,  2.4756E+03,  1.2861E+03,  6.6812E+02,  2.0569E+02,  6.3325E+01
  1.6283E-01,  1.4811E+00,  2.2335E+04,  2.2264E+04,  2.2195E+04,  2.2109E+04,  2.2024E+04,  2.1878E+04,  2.1733E+04,  2.1657E+04,  2.1329E+04,  2.0925E+04,  2.0528E+04,  1.9732E+04,  1.8966E+04,  1.8034E+04,  1.7147E+04,  1.6251E+04,  1.4216E+04,  1.1748E+04,  1.0212E+04,  8.6825E+03,  7.7898E+03,  6.9889E+03,  6.3577E+03,  5.6703E+03,  3.9691E+03,  2.2335E+03,  1.2569E+03,  4.4372E+02,  1.5665E+02
  1.5724E-01,  1.4350E+00,  2.5894E+04,  2.5818E+04,  2.5741E+04,  2.5648E+04,  2.5556E+04,  2.5456E+04,  2.5357E+04,  2.5246E+04,  2.4901E+04,  2.4495E+04,  2.4096E+04,  2.3306E+04,  2.2542E+04,  2.1796E+04,  2.1075E+04,  2.0499E+04,  1.8062E+04,  1.5198E+04,  1.3480E+04,  1.1415E+04,  1.0130E+04,  8.9901E+03,  8.0727E+03,  7.2192E+03,  5.1284E+03,  2.9398E+03,  1.6853E+03,  6.2156E+02,  2.2925E+02
  1.5225E-01,  1.3973E+00,  3.0346E+04,  3.0269E+04,  3.0193E+04,  3.0090E+04,  2.9988E+04,  2.9938E+04,  2.9888E+04,  2.9765E+04,  2.9436E+04,  2.9056E+04,  2.8681E+04,  2.7926E+04,  2.7191E+04,  2.6424E+04,  2.5678E+04,  2.4784E+04,  2.2140E+04,  1.9316E+04,  1.6783E+04,  1.4205E+04,  1.2575E+04,  1.1133E+04,  9.9488E+03,  8.9253E+03,  6.3981E+03,  3.7237E+03,  2.1672E+03,  8.1763E+02,  3.0847E+02
  1.4794E-01,  1.3668E+00,  3.2452E+04,  3.2336E+04,  3.2219E+04,  3.2097E+04,  3.1976E+04,  3.1831E+04,  3.1686E+04,  3.1570E+04,  3.1199E+04,  3.0739E+04,  3.0286E+04,  2.9402E+04,  2.8543E+04,  2.7646E+04,  2.6776E+04,  2.5694E+04,  2.2971E+04,  1.9488E+04,  1.6923E+04,  1.4453E+04,  1.2831E+04,  1.1391E+04,  1.0264E+04,  9.2662E+03,  6.7683E+03,  4.0130E+03,  2.3793E+03,  8.9302E+02,  3.3517E+02
  1.4441E-01,  1.3431E+00,  3.5875E+04,  3.5738E+04,  3.5601E+04,  3.5443E+04,  3.5286E+04,  3.5178E+04,  3.5071E+04,  3.4941E+04,  3.4547E+04,  3.4223E+04,  3.3903E+04,  3.2944E+04,  3.2013E+04,  3.0918E+04,  2.9862E+04,  2.8696E+04,  2.5338E+04,  2.0461E+04,  1.7812E+04,  1.5200E+04,  1.3580E+04,  1.2132E+04,  1.0973E+04,  9.9074E+03,  7.2757E+03,  4.3865E+03,  2.6446E+03,  1.0217E+03,  3.9469E+02
  1.4175E-01,  1.3257E+00,  3.7804E+04,  3.7714E+04,  3.7624E+04,  3.7480E+04,  3.7338E+04,  3.7225E+04,  3.7113E+04,  3.6981E+04,  3.6630E+04,  3.6166E+04,  3.5709E+04,  3.4668E+04,  3.3657E+04,  3.2551E+04,  3.1482E+04,  3.0349E+04,  2.7180E+04,  2.1776E+04,  1.9161E+04,  1.6229E+04,  1.4549E+04,  1.3042E+04,  1.1833E+04,  1.0684E+04,  7.8714E+03,  4.7983E+03,  2.9250E+03,  1.1558E+03,  4.5675E+02
  1.4003E-01,  1.3141E+00,  3.9334E+04,  3.9272E+04,  3.9211E+04,  3.9074E+04,  3.8937E+04,  3.8833E+04,  3.8729E+04,  3.8594E+04,  3.8266E+04,  3.7759E+04,  3.7258E+04,  3.6196E+04,  3.5164E+04,  3.4102E+04,  3.3072E+04,  3.2026E+04,  2.9022E+04,  2.3083E+04,  2.0440E+04,  1.7218E+04,  1.5469E+04,  1.3898E+04,  1.2636E+04,  1.1407E+04,  8.4198E+03,  5.1692E+03,  3.1735E+03,  1.2746E+03,  5.1196E+02
  1.3931E-01,  1.3085E+00,  4.0917E+04,  4.0865E+04,  4.0812E+04,  4.0674E+04,  4.0537E+04,  4.0433E+04,  4.0329E+04,  4.0192E+04,  3.9867E+04,  3.9332E+04,  3.8804E+04,  3.7714E+04,  3.6654E+04,  3.5588E+04,  3.4553E+04,  3.3497E+04,  3.0472E+04,  2.4114E+04,  2.1351E+04,  1.7859E+04,  1.6031E+04,  1.4390E+04,  1.3093E+04,  1.1823E+04,  8.7419E+03,  5.3878E+03,  3.3206E+03,  1.3451E+03,  5.4488E+02
  1.3961E-01,  1.3087E+00,  4.0035E+04,  3.9985E+04,  3.9936E+04,  3.9801E+04,  3.9666E+04,  3.9568E+04,  3.9471E+04,  3.9334E+04,  3.9014E+04,  3.8497E+04,  3.7987E+04,  3.6922E+04,  3.5887E+04,  3.4854E+04,  3.3851E+04,  3.2857E+04,  2.9949E+04,  2.3773E+04,  2.1088E+04,  1.7678E+04,  1.5875E+04,  1.4256E+04,  1.2971E+04,  1.1713E+04,  8.6603E+03,  5.3362E+03,  3.2880E+03,  1.3305E+03,  5.3842E+02
  1.4094E-01,  1.3150E+00,  3.8126E+04,  3.8059E+04,  3.7991E+04,  3.7855E+04,  3.7720E+04,  3.7618E+04,  3.7516E+04,  3.7386E+04,  3.7060E+04,  3.6585E+04,  3.6115E+04,  3.5093E+04,  3.4099E+04,  3.3063E+04,  3.2059E+04,  3.1041E+04,  2.8116E+04,  2.2443E+04,  1.9882E+04,  1.6773E+04,  1.5066E+04,  1.3533E+04,  1.2303E+04,  1.1110E+04,  8.2032E+03,  5.0339E+03,  3.0890E+03,  1.2374E+03,  4.9569E+02
  1.4328E-01,  1.3271E+00,  3.6025E+04,  3.5929E+04,  3.5833E+04,  3.5691E+04,  3.5551E+04,  3.5442E+04,  3.5335E+04,  3.5208E+04,  3.4863E+04,  3.4446E+04,  3.4033E+04,  3.3051E+04,  3.2098E+04,  3.1036E+04,  3.0009E+04,  2.8922E+04,  2.5883E+04,  2.0852E+04,  1.8360E+04,  1.5588E+04,  1.3972E+04,  1.2524E+04,  1.1361E+04,  1.0263E+04,  7.5677E+03,  4.6098E+03,  2.8081E+03,  1.1046E+03,  4.3452E+02
  1.4656E-01,  1.3462E+00,  3.2266E+04,  3.2145E+04,  3.2025E+04,  3.1884E+04,  3.1744E+04,  3.1654E+04,  3.1565E+04,  3.1456E+04,  3.1109E+04,  3.0841E+04,  3.0575E+04,  2.9754E+04,  2.8954E+04,  2.8066E+04,  2.7205E+04,  2.6278E+04,  2.3524E+04,  1.9401E+04,  1.6885E+04,  1.4460E+04,  1.2911E+04,  1.1528E+04,  1.0423E+04,  9.4160E+03,  6.9186E+03,  4.1631E+03,  2.5050E+03,  9.6101E+02,  3.6868E+02
  1.5074E-01,  1.3717E+00,  2.9892E+04,  2.9774E+04,  2.9656E+04,  2.9544E+04,  2.9432E+04,  2.9304E+04,  2.9176E+04,  2.9060E+04,  2.8687E+04,  2.8296E+04,  2.7909E+04,  2.7181E+04,  2.6471E+04,  2.5765E+04,  2.5078E+04,  2.4025E+04,  2.1310E+04,  1.8358E+04,  1.6056E+04,  1.3679E+04,  1.2079E+04,  1.0666E+04,  9.6030E+03,  8.6652E+03,  6.3171E+03,  3.7310E+03,  2.2036E+03,  8.2815E+02,  3.1123E+02
  1.5570E-01,  1.4050E+00,  2.7031E+04,  2.6963E+04,  2.6896E+04,  2.6804E+04,  2.6713E+04,  2.6677E+04,  2.6641E+04,  2.6525E+04,  2.6223E+04,  2.5998E+04,  2.5775E+04,  2.5124E+04,  2.4489E+04,  2.3775E+04,  2.3081E+04,  2.2341E+04,  2.0032E+04,  1.7546E+04,  1.5495E+04,  1.3027E+04,  1.1554E+04,  1.0247E+04,  9.1549E+03,  8.2039E+03,  5.8623E+03,  3.4006E+03,  1.9726E+03,  7.4347E+02,  2.8021E+02
  1.6134E-01,  1.4468E+00,  2.2956E+04,  2.2872E+04,  2.2788E+04,  2.2700E+04,  2.2612E+04,  2.2486E+04,  2.2361E+04,  2.2263E+04,  2.1922E+04,  2.1568E+04,  2.1219E+04,  2.0517E+04,  1.9838E+04,  1.8977E+04,  1.8153E+04,  1.7532E+04,  1.5783E+04,  1.3217E+04,  1.1692E+04,  9.9462E+03,  8.8876E+03,  7.9416E+03,  7.1560E+03,  6.3957E+03,  4.5207E+03,  2.5906E+03,  1.4846E+03,  5.4099E+02,  1.9714E+02
  1.6756E-01,  1.4982E+00,  1.8866E+04,  1.8818E+04,  1.8770E+04,  1.8688E+04,  1.8606E+04,  1.8487E+04,  1.8369E+04,  1.8318E+04,  1.8079E+04,  1.7717E+04,  1.7362E+04,  1.6616E+04,  1.5901E+04,  1.5150E+04,  1.4435E+04,  1.3760E+04,  1.2096E+04,  1.0090E+04,  8.6404E+03,  7.4576E+03,  6.7386E+03,  6.0889E+03,  5.5528E+03,  4.9416E+03,  3.4313E+03,  1.9059E+03,  1.0587E+03,  3.6855E+02,  1.2830E+02
  1.7422E-01,  1.5603E+00,  1.5953E+04,  1.5904E+04,  1.5854E+04,  1.5789E+04,  1.5724E+04,  1.5347E+04,  1.4979E+04,  1.4893E+04,  1.4662E+04,  1.4355E+04,  1.4054E+04,  1.3379E+04,  1.2736E+04,  1.2053E+04,  1.1406E+04,  1.0482E+04,  8.5914E+03,  6.8648E+03,  5.7412E+03,  4.7535E+03,  4.2027E+03,  3.7157E+03,  3.2743E+03,  2.8336E+03,  1.8202E+03,  8.9734E+02,  4.4237E+02,  1.2175E+02,  3.3507E+01
  1.8122E-01,  1.6353E+00,  1.3329E+04,  1.3264E+04,  1.3200E+04,  1.3113E+04,  1.3026E+04,  1.2927E+04,  1.2830E+04,  1.2765E+04,  1.2527E+04,  1.2119E+04,  1.1724E+04,  1.1016E+04,  1.0350E+04,  9.4192E+03,  8.5720E+03,  7.6950E+03,  5.8051E+03,  4.1434E+03,  3.3051E+03,  2.6361E+03,  2.2512E+03,  1.9226E+03,  1.6590E+03,  1.3993E+03,  8.2727E+02,  3.6033E+02,  1.5695E+02,  3.4009E+01,  7.3693E+00
  1.8843E-01,  1.7243E+00,  1.1354E+04,  1.1310E+04,  1.1267E+04,  1.1180E+04,  1.1093E+04,  1.0987E+04,  1.0882E+04,  1.0798E+04,  1.0535E+04,  1.0128E+04,  9.7373E+03,  8.7596E+03,  7.8801E+03,  6.9420E+03,  6.1156E+03,  5.3528E+03,  3.5935E+03,  2.2794E+03,  1.7122E+03,  1.2481E+03,  1.0366E+03,  8.6101E+02,  7.1720E+02,  5.8451E+02,  3.1119E+02,  1.0531E+02,  3.5634E+01,  4.0804E+00,  0.0000E+00
  1.9572E-01,  1.8302E+00,  1.1817E+04,  1.1721E+04,  1.1627E+04,  1.1418E+04,  1.1213E+04,  1.1020E+04,  1.0831E+04,  1.0646E+04,  1.0184E+04,  9.5245E+03,  8.9080E+03,  7.6334E+03,  6.5412E+03,  5.5088E+03,  4.6394E+03,  3.8776E+03,  2.3866E+03,  1.4448E+03,  1.0143E+03,  6.6173E+02,  4.9309E+02,  3.6743E+02,  2.7972E+02,  2.1017E+02,  9.3327E+01,  2.6041E+01,  7.2664E+00,  0.0000E+00,  0.0000E+00
  2.0300E-01,  1.9563E+00,  2.7274E+04,  2.6700E+04,  2.6137E+04,  2.5156E+04,  2.4212E+04,  2.3683E+04,  2.3164E+04,  2.2655E+04,  2.1297E+04,  1.8604E+04,  1.6252E+04,  1.1710E+04,  8.4373E+03,  6.0951E+03,  4.4031E+03,  3.4096E+03,  1.7846E+03,  9.2166E+02,  5.7972E+02,  3.0739E+02,  2.0727E+02,  1.3976E+02,  1.0013E+02,  7.3589E+01,  3.0872E+01,  9.1854E+00,  2.7330E+00,  0.0000E+00,  0.0000E+00
  2.1013E-01,  2.1066E+00,  5.9188E+04,  5.7293E+04,  5.5458E+04,  5.2296E+04,  4.9313E+04,  4.6662E+04,  4.4154E+04,  4.1813E+04,  3.5536E+04,  2.7629E+04,  2.1481E+04,  1.3665E+04,  8.6925E+03,  5.9782E+03,  4.1115E+03,  3.0389E+03,  1.3616E+03,  5.5335E+02,  2.8792E+02,  1.1232E+02,  6.5302E+01,  3.7965E+01,  2.4318E+01,  1.7282E+01,  6.7893E+00,  1.5427E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1703E-01,  2.2857E+00,  9.8101E+04,  8.8822E+04,  8.0421E+04,  6.8637E+04,  5.8580E+04,  5.1614E+04,  4.5477E+04,  4.0820E+04,  2.9907E+04,  1.9444E+04,  1.2641E+04,  7.2335E+03,  4.1393E+03,  2.7986E+03,  1.8922E+03,  1.3770E+03,  5.7279E+02,  1.9967E+02,  9.7194E+01,  3.3339E+01,  1.6319E+01,  7.9884E+00,  4.5724E+00,  2.9065E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2360E-01,  2.4997E+00,  2.1530E+05,  1.9296E+05,  1.7294E+05,  1.3900E+05,  1.1172E+05,  9.3025E+04,  7.7457E+04,  6.5130E+04,  4.0252E+04,  2.1395E+04,  1.1372E+04,  5.0617E+03,  2.2530E+03,  1.3552E+03,  8.1521E+02,  5.6681E+02,  2.2028E+02,  6.8500E+01,  2.9819E+01,  9.1100E+00,  4.3074E+00,  2.0366E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2975E-01,  2.7565E+00,  3.8813E+05,  3.2520E+05,  2.7247E+05,  1.9688E+05,  1.4226E+05,  1.0995E+05,  8.4978E+04,  6.6610E+04,  3.3682E+04,  1.4536E+04,  6.2734E+03,  2.3489E+03,  8.7946E+02,  4.5974E+02,  2.4033E+02,  1.5125E+02,  4.7595E+01,  1.2011E+01,  4.2825E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3541E-01,  3.0657E+00,  1.0593E+06,  7.8637E+05,  5.8375E+05,  3.3208E+05,  1.8891E+05,  1.1797E+05,  7.3669E+04,  5.0440E+04,  1.7810E+04,  5.3863E+03,  1.6290E+03,  4.1848E+02,  1.0750E+02,  4.3825E+01,  1.7866E+01,  9.4921E+00,  1.9614E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4052E-01,  3.4393E+00,  2.0611E+06,  1.2725E+06,  7.8570E+05,  4.0223E+05,  2.0591E+05,  1.2049E+05,  7.0508E+04,  4.4869E+04,  1.3287E+04,  3.0726E+03,  7.1057E+02,  1.2865E+02,  2.3292E+01,  8.2875E+00,  2.9488E+00,  1.0492E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
